timestamp,source_ip,destination_ip,protocol,length,eth_src_mac,eth_dst_mac,eth_type,ip_version,ip_ttl,ip_flags,app_protocol,src_port,dst_port,tcp_flags,source,destination
2025-04-13 19:44:40,192.168.178.91,168.95.246.1,ICMP,58,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,ICMP,,,,192.168.178.91,168.95.246.1
2025-04-13 19:44:40,168.95.246.1,192.168.178.91,ICMP,58,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,54,,ICMP,,,,168.95.246.1,192.168.178.91
2025-04-13 19:44:40,192.168.178.91,216.239.38.223,TCP,54,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,,,443,"0x011 (FIN, ACK)",192.168.178.91,216.239.38.223
2025-04-13 19:44:40,216.239.38.223,192.168.178.91,TCP,54,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,59,,,,54241,"0x011 (FIN, ACK)",216.239.38.223,192.168.178.91
2025-04-13 19:44:40,192.168.178.91,216.239.38.223,TCP,54,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,,,443,0x010 (ACK),192.168.178.91,216.239.38.223
2025-04-13 19:44:41,192.168.178.91,192.168.178.24,DNS,70,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,DNS,,53,,192.168.178.91,192.168.178.24
2025-04-13 19:44:41,192.168.178.91,168.95.246.1,ICMP,58,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,ICMP,,,,192.168.178.91,168.95.246.1
2025-04-13 19:44:41,192.168.178.24,192.168.178.91,DNS,86,dc:a6:32:8d:70:ea,,IPv4 (0x0800),,64,,DNS,,60802,,192.168.178.24,192.168.178.91
2025-04-13 19:44:41,168.95.246.1,192.168.178.91,ICMP,58,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,54,,ICMP,,,,168.95.246.1,192.168.178.91
2025-04-13 19:44:41,,,HOMEPLUG-AV,60,2c:91:ab:d1:09:4b,,Homeplug AV (0x88e1),,,,HOMEPLUG,,,,,
2025-04-13 19:44:41,,,DATA,60,2c:91:ab:d1:09:4b,,Unknown (0x8912),,,,,,,,,
2025-04-13 19:44:42,192.168.178.91,239.255.255.250,SSDP,209,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,SSDP,,1900,,192.168.178.91,239.255.255.250
2025-04-13 19:44:42,192.168.178.91,168.95.246.1,ICMP,58,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,ICMP,,,,192.168.178.91,168.95.246.1
2025-04-13 19:44:42,168.95.246.1,192.168.178.91,ICMP,58,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,54,,ICMP,,,,168.95.246.1,192.168.178.91
2025-04-13 19:44:43,,,HOMEPLUG-AV,60,2c:91:ab:d1:09:4b,,Homeplug AV (0x88e1),,,,HOMEPLUG,,,,,
2025-04-13 19:44:43,,,DATA,60,2c:91:ab:d1:09:4b,,Unknown (0x8912),,,,,,,,,
2025-04-13 19:44:43,192.168.178.91,168.95.246.1,ICMP,58,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,ICMP,,,,192.168.178.91,168.95.246.1
2025-04-13 19:44:43,168.95.246.1,192.168.178.91,ICMP,58,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,54,,ICMP,,,,168.95.246.1,192.168.178.91
2025-04-13 19:44:44,192.168.178.91,172.217.16.195,TCP,54,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,,,80,"0x011 (FIN, ACK)",192.168.178.91,172.217.16.195
2025-04-13 19:44:44,172.217.16.195,192.168.178.91,TCP,54,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,123,,,,54319,"0x011 (FIN, ACK)",172.217.16.195,192.168.178.91
2025-04-13 19:44:44,192.168.178.91,172.217.16.195,TCP,54,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,,,80,0x010 (ACK),192.168.178.91,172.217.16.195
2025-04-13 19:44:44,192.168.178.91,168.95.246.1,ICMP,58,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,ICMP,,,,192.168.178.91,168.95.246.1
2025-04-13 19:44:44,168.95.246.1,192.168.178.91,ICMP,58,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,54,,ICMP,,,,168.95.246.1,192.168.178.91
2025-04-13 19:44:45,,,HOMEPLUG-AV,60,2c:91:ab:d1:09:4b,,Homeplug AV (0x88e1),,,,HOMEPLUG,,,,,
2025-04-13 19:44:45,,,DATA,60,2c:91:ab:d1:09:4b,,Unknown (0x8912),,,,,,,,,
2025-04-13 19:44:45,192.168.178.91,192.168.178.24,DNS,70,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,DNS,,53,,192.168.178.91,192.168.178.24
2025-04-13 19:44:45,192.168.178.91,192.168.178.24,DNS,70,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,DNS,,53,,192.168.178.91,192.168.178.24
2025-04-13 19:44:45,192.168.178.24,192.168.178.91,DNS,86,dc:a6:32:8d:70:ea,,IPv4 (0x0800),,64,,DNS,,62906,,192.168.178.24,192.168.178.91
2025-04-13 19:44:45,192.168.178.24,192.168.178.91,DNS,86,dc:a6:32:8d:70:ea,,IPv4 (0x0800),,64,,DNS,,62906,,192.168.178.24,192.168.178.91
2025-04-13 19:44:45,192.168.178.91,168.95.246.1,ICMP,58,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,ICMP,,,,192.168.178.91,168.95.246.1
2025-04-13 19:44:45,168.95.246.1,192.168.178.91,ICMP,58,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,54,,ICMP,,,,168.95.246.1,192.168.178.91
2025-04-13 19:44:46,192.168.178.91,168.95.246.1,ICMP,58,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,ICMP,,,,192.168.178.91,168.95.246.1
2025-04-13 19:44:47,168.95.246.1,192.168.178.91,ICMP,58,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,54,,ICMP,,,,168.95.246.1,192.168.178.91
2025-04-13 19:44:47,,,HOMEPLUG-AV,60,2c:91:ab:d1:09:4b,,Homeplug AV (0x88e1),,,,HOMEPLUG,,,,,
2025-04-13 19:44:47,,,DATA,60,2c:91:ab:d1:09:4b,,Unknown (0x8912),,,,,,,,,
2025-04-13 19:44:48,192.168.178.91,168.95.246.1,ICMP,58,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,ICMP,,,,192.168.178.91,168.95.246.1
