timestamp,source_ip,destination_ip,protocol,length,src_port,dst_port,eth_src_mac,eth_dst_mac,ip_ttl,eth_type,ip_version,ip_flags,tcp_flags,app_protocol,source,destination,prediction,distance
2025-04-23 13:48:04,10.0.96.87,10.0.96.21,TCP,171.0,63921.0,8009.0,20:0b:74:19:ee:af,38:4b:76:f1:27:a8,128.0,IPv4 (0x0800),,,"0x018 (PSH, ACK)",,10.0.96.87,10.0.96.21,normal,1.7132179070210227
2025-04-23 13:48:04,10.0.96.21,10.0.96.87,TCP,175.0,8009.0,63921.0,38:4b:76:f1:27:a8,20:0b:74:19:ee:af,64.0,IPv4 (0x0800),,,"0x018 (PSH, ACK)",,10.0.96.21,10.0.96.87,normal,1.7105692538225559
2025-04-23 13:48:04,,,ARP,60.0,,,52:d2:75:e9:70:bb,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,,normal,1.2889459496063247
2025-04-23 13:48:04,10.0.96.87,10.0.96.21,TCP,54.0,63921.0,8009.0,20:0b:74:19:ee:af,38:4b:76:f1:27:a8,128.0,IPv4 (0x0800),,,0x010 (ACK),,10.0.96.87,10.0.96.21,normal,1.7085019441809535
2025-04-23 13:48:04,10.0.96.87,202.39.224.7,ICMP,58.0,,,20:0b:74:19:ee:af,84:39:8f:37:90:96,255.0,IPv4 (0x0800),,,,ICMP,10.0.96.87,202.39.224.7,normal,1.6738869601787276
2025-04-23 13:48:04,,,ARP,60.0,,,00:1e:67:12:df:48,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,,normal,1.2879629969451452
2025-04-23 13:48:04,,,ARP,60.0,,,bc:24:11:ac:f8:8a,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,,normal,1.28604591540005
2025-04-23 13:48:04,,,ARP,60.0,,,00:1e:67:0c:33:24,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,,normal,1.2913656573671592
2025-04-23 13:48:04,10.0.96.87,10.0.96.103,TCP,171.0,64407.0,8009.0,20:0b:74:19:ee:af,38:4b:76:f1:36:fe,128.0,IPv4 (0x0800),,,"0x018 (PSH, ACK)",,10.0.96.87,10.0.96.103,normal,1.7107312791032108
2025-04-23 13:48:04,10.0.96.103,10.0.96.87,TCP,175.0,8009.0,64407.0,38:4b:76:f1:36:fe,20:0b:74:19:ee:af,64.0,IPv4 (0x0800),,,"0x018 (PSH, ACK)",,10.0.96.103,10.0.96.87,normal,1.71029023141068
2025-04-23 13:48:04,,,ARP,60.0,,,52:d2:75:e9:70:bb,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,,normal,1.28573946453218
2025-04-23 13:48:04,10.0.96.101,239.255.255.250,XML,698.0,54285.0,3702.0,d8:3b:bf:be:11:a3,01:00:5e:7f:ff:fa,1.0,IPv4 (0x0800),,,,XML,10.0.96.101,239.255.255.250,normal,1.369500684558298
