timestamp,source_ip,destination_ip,protocol,length,eth_src_mac,eth_dst_mac,eth_type,ip_version,ip_ttl,ip_flags,src_port,dst_port,tcp_flags,app_protocol,source,destination,prediction,distance
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,0x010 (ACK),,208.89.74.23,10.212.134.200,normal,1.9526127515485154
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,"0x018 (PSH, ACK)",,208.89.74.23,10.212.134.200,normal,1.9511911143663092
2025-04-13 19:46:59,10.212.134.200,208.89.74.23,TCP,66,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,80,0x010 (ACK),,10.212.134.200,208.89.74.23,normal,1.7113432510556756
2025-04-13 19:46:59,208.89.74.21,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54739,0x010 (ACK),,208.89.74.21,10.212.134.200,normal,1.955973905442302
2025-04-13 19:46:59,208.89.74.21,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54739,"0x018 (PSH, ACK)",,208.89.74.21,10.212.134.200,normal,1.953882388548265
2025-04-13 19:46:59,10.212.134.200,208.89.74.21,TCP,66,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,80,0x010 (ACK),,10.212.134.200,208.89.74.21,normal,1.7091034503166345
2025-04-13 19:46:59,208.89.74.21,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54739,0x010 (ACK),,208.89.74.21,10.212.134.200,normal,1.953993579566759
2025-04-13 19:46:59,208.89.74.21,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54739,"0x018 (PSH, ACK)",,208.89.74.21,10.212.134.200,normal,1.9501083750084114
2025-04-13 19:46:59,10.212.134.200,208.89.74.21,TCP,66,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,80,0x010 (ACK),,10.212.134.200,208.89.74.21,normal,1.711774084716637
2025-04-13 19:46:59,208.89.74.21,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54739,0x010 (ACK),,208.89.74.21,10.212.134.200,normal,1.9530791715795772
2025-04-13 19:46:59,208.89.74.21,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54739,"0x018 (PSH, ACK)",,208.89.74.21,10.212.134.200,normal,1.9516096963748424
2025-04-13 19:46:59,10.212.134.200,208.89.74.21,TCP,66,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,80,0x010 (ACK),,10.212.134.200,208.89.74.21,normal,1.706471947465213
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,0x010 (ACK),,208.89.74.23,10.212.134.200,normal,1.954064612049022
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,"0x018 (PSH, ACK)",,208.89.74.23,10.212.134.200,normal,1.954933283164344
2025-04-13 19:46:59,10.212.134.200,208.89.74.23,TCP,66,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,80,0x010 (ACK),,10.212.134.200,208.89.74.23,normal,1.7089103283784517
2025-04-13 19:46:59,13.74.129.92,10.212.134.200,TLS,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,111,,,54778,0x010 (ACK),TLS,13.74.129.92,10.212.134.200,normal,1.5974122357481224
2025-04-13 19:46:59,13.74.129.92,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,111,,,54778,0x010 (ACK),,13.74.129.92,10.212.134.200,normal,1.9522246212289567
2025-04-13 19:46:59,10.212.134.200,13.74.129.92,TCP,54,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,443,0x010 (ACK),,10.212.134.200,13.74.129.92,normal,1.7074211540296496
2025-04-13 19:46:59,13.74.129.92,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,111,,,54778,0x010 (ACK),,13.74.129.92,10.212.134.200,normal,1.9533411362644855
2025-04-13 19:46:59,13.74.129.92,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,111,,,54778,0x010 (ACK),,13.74.129.92,10.212.134.200,normal,1.950706780556316
2025-04-13 19:46:59,10.212.134.200,13.74.129.92,TCP,54,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,443,0x010 (ACK),,10.212.134.200,13.74.129.92,normal,1.7091428189092848
2025-04-13 19:46:59,13.74.129.92,10.212.134.200,TLS,839,00:09:0f:aa:00:02,,IPv4 (0x0800),,111,,,54778,"0x018 (PSH, ACK)",,13.74.129.92,10.212.134.200,normal,1.4051602284896973
2025-04-13 19:46:59,10.212.134.200,13.74.129.92,TLS,147,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,443,"0x018 (PSH, ACK)",TLS,10.212.134.200,13.74.129.92,normal,1.2915489639108888
2025-04-13 19:46:59,208.89.74.27,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54772,0x010 (ACK),,208.89.74.27,10.212.134.200,normal,1.9517406669132888
2025-04-13 19:46:59,208.89.74.27,10.212.134.200,TCP,573,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54772,"0x018 (PSH, ACK)",,208.89.74.27,10.212.134.200,normal,1.7515403513096917
2025-04-13 19:46:59,10.212.134.200,208.89.74.27,TCP,66,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,80,0x010 (ACK),,10.212.134.200,208.89.74.27,normal,1.7072567976964108
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,0x010 (ACK),,208.89.74.23,10.212.134.200,normal,1.9530677154036848
